School Code,School Name,TOTAL_Enrollment,Economically Disadvantaged,% Economically Disadvantaged,% African American,% Asian,% Hispanic,% White,% Native American,"% Native Hawaiian, Pacific Islander","% Multi-Race, Non-Hispanic",Total # of Classes,Average Class Size,Number of Students,Average Expenditures per Pupil,# in Cohort,% Graduated,% Still in School,% Non-Grad Completers,% GED,% Dropped Out,% Permanently Excluded,High School Graduates (#),Attending Coll./Univ. (#),% Attending College,% Private Two-Year,% Private Four-Year,% Public Two-Year,% Public Four-Year,% MA Community College,% MA State University,% UMass,AP_Test Takers,AP_Tests Taken,AP_One Test,AP_Two Tests,AP_Three Tests,AP_Four Tests,AP_Five or More Tests,AP_Score=1,AP_Score=2,AP_Score=3,AP_Score=4,AP_Score=5,% AP_Score 1-2,% AP_Score 3-5,SAT_Tests Taken,Average SAT_Reading,Average SAT_Writing,Average SAT_Math
950045,John J Doran,546,417,76.4,7.7,1.8,28,53.3,0.4,0,8.8,178,24,555,14076.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950013,Letourneau Elementary School,597,419,70.2,7.5,2,36,48.6,0,0,5.9,220,21.9,606,14076.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950011,Mary Fonseca Elementary School,713,578,81.1,8.7,5.6,33.5,40.5,0.6,0,11.1,248,23.6,732,14076.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950320,Matthew J Kuss Middle,770,457,59.4,6.5,3.8,21,62.6,0.3,0,5.8,285,22.4,736,14076.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950315,Morton Middle,622,391,62.9,7.7,4.7,21.7,59.2,0.2,0.3,6.3,267,21.2,632,14076.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950005,North End Elementary,763,433,56.7,5.6,3.8,18,63.8,0,0.1,8.7,268,23.1,784,14076.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950335,Resiliency Middle School,27,25,92.6,11.1,0,37,40.7,3.7,0,7.4,20,8.6,43,14076.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950325,Resiliency Preparatory School,162,121,74.7,13.6,1.2,27.2,52.5,0,1.2,4.3,61,7.6,111,14076.23,95,34.7,12.6,10.5,5.3,36.8,0,59,13,22,0,23.1,76.9,0,76.9,0,0,,,,,,,,,,,,,,,4,,,
950145,Samuel Watson,304,237,78,11.8,2,23.4,49.3,1.3,0,12.2,104,22.6,294,14076.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950130,Spencer Borden,523,303,57.9,5.4,4.4,15.5,66.5,0,0,8.2,221,20.1,558,14076.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950340,Stone Day School,32,28,87.5,12.5,0,25,46.9,0,0,15.6,58,5.5,41,14076.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950305,Talbot Innovation School,546,396,72.5,7.1,5.1,31.7,50.4,0.2,0,5.5,348,15,598,14076.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950065,William S Greene,768,513,66.8,4.9,5.3,23.2,57.6,0.1,0,8.9,276,22,766,14076.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960005,East Falmouth Elementary,351,146,41.6,5.1,0.9,6,78.9,2.3,0,6.8,88,16.4,378,15804.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960505,Falmouth High,882,214,24.3,4.9,3.5,4,82.1,0.7,0.1,4.8,686,14.4,869,15804.68,203,87.7,3,0,3.9,5.4,0,196,151,77,0,39.1,28.5,32.5,27.2,12.6,6.6,117,238,50,32,21,10,4,22,33,66,60,57,23.1,76.9,149,518,516,540
960405,Lawrence,568,141,24.8,4.6,3,3.9,80.5,1.4,0,6.7,366,17.5,574,15804.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960305,Morse Pond School,589,149,25.3,6.5,1.4,5.1,81.3,0.5,0.3,4.9,225,30.8,615,15804.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960020,Mullen-Hall,464,125,26.9,3,3.4,6,78.7,1.5,0,7.3,130,18.2,472,15804.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960030,North Falmouth Elementary,312,67,21.5,2.2,1.9,5.4,86.2,0,0,4.2,90,18.3,329,15804.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960015,Teaticket,300,123,41,8.3,2,5.3,75,2.7,0,6.7,97,15.7,317,15804.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970315,Arthur M Longsjo Middle School,559,355,63.5,5.9,4.7,51.3,30.4,0.2,0,7.5,308,17.2,553,13783.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970016,Crocker Elementary,642,413,64.3,4.5,2.5,51.4,34.1,0.3,0.2,7,182,23.4,622,13783.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970505,Fitchburg High,1211,654,54,7.3,6.1,48.3,32,0,0.1,6.1,524,20.3,1365,13783.33,267,86.1,2.6,4.1,0.7,6.4,0,219,148,67.6,0,14.9,50.7,34.5,48,21.6,9.5,239,507,106,48,51,21,13,244,135,70,49,9,74.8,25.2,243,395,373,414
970510,Goodrich Academy,172,104,60.5,7,1.2,34.9,54.7,0,0,2.3,111,7,236,13783.33,158,55.7,21.5,2.5,2.5,17.1,0.6,104,27,26,0,3.7,92.6,3.7,88.9,0,0,,,,,,,,,,,,,,,3,,,
970340,McKay Arts Academy,673,376,55.9,4.6,6.7,48.1,32.5,0,0,8,303,19.5,678,13783.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970048,Memorial Intermediate,716,391,54.6,5.6,5.4,52.2,29.9,0,0,6.8,286,21,720,13783.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970043,Reingold Elementary,622,366,58.8,5.8,3.1,44.9,38.1,0,0.2,8,280,21.6,661,13783.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970060,South Street Elementary,677,444,65.6,6.1,5.6,53.3,27.3,0.1,0.1,7.4,269,19.8,681,13783.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980005,Abbott Memorial,81,21,25.9,1.2,0,0,96.3,0,1.2,1.2,55,9.4,89,17823.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990050,Charles Taylor Elementary,243,25,10.3,4.1,4.1,4.1,84.4,0.8,0.4,2.1,80,17.3,242,15206.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990505,Foxborough High,837,114,13.6,5.3,2.7,3,87.9,0.1,0.1,0.8,566,13.6,838,15206.93,225,96.4,3.1,0,0,0.4,0,215,176,81.9,0,34.1,10.2,55.7,9.7,16.5,22.7,217,455,84,57,55,13,8,28,104,131,119,73,29,71,194,520,514,534
990405,John J Ahern,816,126,15.4,4.5,2.3,4.2,86.8,0.5,0,1.7,543,17.8,832,15206.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990015,Mabelle M Burrell,311,36,11.6,2.6,6.1,3.5,83.3,0.3,0.3,3.9,84,17.3,322,15206.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990020,Vincent M Igo Elementary,394,67,17,3.6,5.3,4.1,83.5,0.5,0,3,116,20.2,415,15206.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4450105,Abby Kelley Foster Charter Public School,1425,530,37.2,48.5,4,22,22.9,0.1,0.1,2.3,750,18.7,1420,,77,96.1,0,1.3,0,2.6,0,76,63,82.9,0,27,30.2,42.9,30.2,22.2,11.1,,,,,,,,,,,,,,,70,482,485,472
4120530,Academy Of the Pacific Rim Charter Public School,527,202,38.3,58.1,0.9,27.3,10.4,0,0.2,3,123,22.8,525,,56,91.1,7.1,0,1.8,0,0,42,39,92.9,0,56.4,20.5,23.1,20.5,20.5,2.6,60,96,25,34,1,0,0,35,45,8,4,4,83.3,16.7,4,,,
6000505,Acton-Boxborough Regional High,1864,91,4.9,1.5,28.2,3.4,63,0.2,0,3.7,698,19.9,1900,14016.2,474,98.3,0.8,0,0,0.8,0,472,420,89,0.2,52.1,6.4,41.2,6,3.1,13.8,445,"1,025",156,117,88,58,26,7,49,100,303,566,5.5,94.5,421,617,608,641
6000005,Blanchard Memorial School,413,24,5.8,1.7,33.2,3.1,58.6,0.5,0,2.9,139,21.1,433,14016.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6000020,C.T. Douglas Elementary School,456,21,4.6,0.2,24.3,3.3,65.8,0.2,0,6.1,149,22.9,482,14016.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6000001,Carol Huebner Early Childhood Program,97,8,8.2,5.2,40.2,3.1,46.4,3.1,0,2.1,,,,14016.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6000030,Luther Conant School,451,32,7.1,2.9,60.8,4.2,29.5,0,0,2.7,135,22.9,435,14016.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6000015,McCarthy-Towne School,475,42,8.8,3.4,11.4,9.1,70.1,0.6,0,5.5,149,22.8,479,14016.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6000010,Merriam School,517,34,6.6,2.5,20.5,5.4,68.1,0,0.2,3.3,170,22.2,610,14016.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6000025,Paul P Gates Elementary School,404,40,9.9,1.7,51,3.5,39.9,1,0.2,2.7,135,22.4,425,14016.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6000405,Raymond J Grey Junior High,911,47,5.2,2,31.8,3.7,56.8,0.1,0,5.6,547,22.3,895,14016.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
