time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-04-23T20:04:29.900Z,19.154333114624,-155.489334106445,35.9500007629395,2.43,ml,44,134,,0.119999997,hv,hv72993527,2022-04-23T20:23:10.040Z,"5 km SSW of Pāhala, Hawaii",earthquake,0.53,0.699999988,4.17,8,automatic,hv,hv
2022-04-23T20:02:22.631Z,62.9435,-148.2352,61.5,1.6,ml,,,,0.5,ak,ak022577nd2x,2022-04-23T20:05:03.431Z,"61 km SE of Cantwell, Alaska",earthquake,,0.5,,,automatic,ak,ak
2022-04-23T19:56:31.105Z,-58.1211,-24.9005,10,4.8,mb,,70,7.517,0.65,us,us6000hfwy,2022-04-23T20:16:10.040Z,"South Sandwich Islands region",earthquake,7.2,1.9,0.098,32,reviewed,us,us
2022-04-23T19:42:43.092Z,35.365,141.925,10,4,mb,,225,2.845,0.49,us,us6000hfwu,2022-04-23T20:08:24.765Z,"107 km ESE of Hasaki, Japan",earthquake,5,2,0.212,6,reviewed,us,us
2022-04-23T19:27:18.480Z,38.8233337,-122.802002,3.11,1.08,md,16,58,0.006306,0.02,nc,nc73722360,2022-04-23T21:33:14.158Z,"6km NW of The Geysers, CA",earthquake,0.34,0.67,0.99,3,automatic,nc,nc
2022-04-23T19:15:27.950Z,37.5065,-118.3983333,6.69,1.21,md,4,238,0.05478,0.04,nc,nc73722355,2022-04-23T23:21:15.797Z,"13km N of Dixon Lane-Meadow Creek, CA",earthquake,1.39,1.71,0.256,4,reviewed,nc,nc
2022-04-23T18:49:45.976Z,63.2862,-150.4332,124.4,1.7,ml,,,,0.33,ak,ak022576qmf6,2022-04-23T18:53:36.121Z,"70 km ESE of Denali National Park, Alaska",earthquake,,0.9,,,automatic,ak,ak
2022-04-23T18:48:14.450Z,35.9328333,-117.6781667,3.91,0.78,ml,12,93,0.0271,0.17,ci,ci40244504,2022-04-23T18:51:50.831Z,"21km E of Little Lake, CA",earthquake,0.55,0.93,0.158,7,automatic,ci,ci
2022-04-23T18:42:29.740Z,33.669,-116.7688333,10.5,1.2,ml,40,46,0.06202,0.14,ci,ci40244496,2022-04-23T18:46:02.795Z,"9km SSW of Idyllwild, CA",earthquake,0.21,0.26,0.201,27,automatic,ci,ci
2022-04-23T18:41:42.860Z,33.6625,-116.7715,10.15,2.09,ml,67,25,0.06813,0.2,ci,ci40244488,2022-04-23T18:52:18.220Z,"10km SSW of Idyllwild, CA",earthquake,0.19,0.32,0.192,25,automatic,ci,ci
2022-04-23T18:28:02.169Z,31.6735,-104.3313,5,2.5,ml,,115,0.144,0.86,us,us6000hfw3,2022-04-23T18:57:01.040Z,"55 km S of Whites City, New Mexico",earthquake,1.3,1.4,0.049,54,reviewed,us,us
2022-04-23T18:26:09.275Z,64.9396,-148.4594,18.2,0.7,ml,,,,0.37,ak,ak022576lm0v,2022-04-23T18:28:52.842Z,"23 km WNW of Ester, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-04-23T18:25:08.680Z,19.3314990997314,-155.158493041992,1.46000003814697,1.87,ml,34,93,,0.219999999,hv,hv72993492,2022-04-23T18:30:39.260Z,"14 km SSE of Volcano, Hawaii",earthquake,0.52,0.629999995,0.44,3,automatic,hv,hv
2022-04-23T18:22:21.957Z,8.0904,147.5463,10,5.2,mww,,44,6.064,0.78,us,us6000hfw4,2022-04-23T18:49:42.040Z,"State of Yap, Federated States of Micronesia",earthquake,6.1,1.8,0.069,20,reviewed,us,us
2022-04-23T18:21:43.560Z,17.953,-66.8448333333333,12.61,2.27,md,6,211,,0.23,pr,pr71345668,2022-04-23T18:32:21.890Z,"5 km SSW of Indios, Puerto Rico",earthquake,1.24,0.67,0.0637273070140163,4,reviewed,pr,pr
2022-04-23T18:12:47.710Z,17.96,-66.8378333333333,12.99,2.36,md,7,204,,0.12,pr,pr71345658,2022-04-23T18:26:40.710Z,"4 km SSW of Indios, Puerto Rico",earthquake,0.67,0.57,0.0845447481364121,7,reviewed,pr,pr
2022-04-23T17:59:23.790Z,19.1626663208008,-155.481170654297,35.7099990844727,1.91999996,md,34,109,,0.119999997,hv,hv72993462,2022-04-23T18:03:39.640Z,"4 km S of Pāhala, Hawaii",earthquake,0.52,0.699999988,0.560000002,9,automatic,hv,hv
2022-04-23T17:58:56.270Z,17.9558333333333,-66.8441666666667,12.4,3.27,md,28,173,,0.13,pr,pr71345653,2022-04-23T18:32:32.210Z,"4 km SSW of Indios, Puerto Rico",earthquake,0.31,0.22,0.0611668051435519,9,reviewed,pr,pr
2022-04-23T17:53:49.130Z,24.5553,121.9479,35,4.1,mb,,70,0.498,0.53,us,us6000hfvu,2022-04-23T22:46:15.768Z,"29 km SE of Yilan, Taiwan",earthquake,2.6,2,0.234,5,reviewed,us,us
2022-04-23T17:44:56.610Z,17.9388,-66.8393,10,3.46,md,22,180,0.0539,0.23,pr,pr2022113001,2022-04-23T18:10:19.232Z,"6 km SSW of Indios, Puerto Rico",earthquake,0.51,0.58,0.24,15,reviewed,pr,pr
2022-04-23T17:38:29.170Z,17.9408333333333,-66.838,12.93,2.42,md,12,179,,0.13,pr,pr71345623,2022-04-23T18:20:54.390Z,"6 km SSW of Indios, Puerto Rico",earthquake,0.44,0.42,0.140514418710136,6,reviewed,pr,pr
2022-04-23T17:32:52.693Z,61.3022,-150.7884,52.7,1.6,ml,,,,0.55,ak,ak0225761k2a,2022-04-23T17:35:16.142Z,"23 km NE of Beluga, Alaska",earthquake,,0.6,,,automatic,ak,ak
2022-04-23T17:31:39.260Z,17.9425,-66.8395,13.07,2.39,md,6,217,,0.17,pr,pr71345618,2022-04-23T17:59:05.110Z,"6 km SSW of Indios, Puerto Rico",earthquake,1.33,0.66,0.00672151033979174,4,reviewed,pr,pr
2022-04-23T17:23:04.069Z,61.3111,-150.0639,33.6,1.7,ml,,,,0.46,ak,ak022575ziv7,2022-04-23T17:26:49.381Z,"7 km SW of Point MacKenzie, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-04-23T17:21:27.580Z,17.9421666666667,-66.8393333333333,12.32,2.88,md,31,178,,0.22,pr,pr71345608,2022-04-23T17:40:31.430Z,"Puerto Rico region",earthquake,0.43,0.3,0.115799223721451,17,reviewed,pr,pr
2022-04-23T17:09:44.470Z,35.5345,-117.362,8.97,1.61,ml,18,106,0.00975,0.15,ci,ci40244448,2022-04-23T17:20:57.410Z,"26km S of Trona, CA",earthquake,0.33,0.49,0.113,22,automatic,ci,ci
2022-04-23T17:09:31.200Z,37.4888333,-118.595,9.84,1.17,md,21,55,0.1343,0.04,nc,nc73722335,2022-04-23T23:47:20.983Z,"8km N of Round Valley, CA",earthquake,0.44,1.82,0.102,14,reviewed,nc,nc
2022-04-23T17:07:47.699Z,62.2787,-150.1513,1.9,2.4,ml,,,,0.82,ak,ak022575w6sg,2022-04-23T18:55:17.173Z,"5 km SSW of Talkeetna, Alaska",earthquake,,0.2,,,automatic,ak,ak
2022-04-23T16:59:26.450Z,36.6751671,-121.3160019,2.15,1.91,md,17,168,0.0405,0.1,nc,nc73722330,2022-04-23T19:07:15.284Z,"13km S of Tres Pinos, CA",earthquake,0.45,0.84,0.09,15,automatic,nc,nc
